graph,beta,algorithm,seed,K,final_cumulative_regret,source
G_trap,0,hpsmg_plus,0,50,0.03824900,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,1,50,0.03027404,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,2,50,0.05171785,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,3,50,0.06626882,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,4,50,0.08495601,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,5,50,0.06339015,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,6,50,0.00412266,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0,hpsmg_plus,7,50,0.03824900,results/cloudgpt/G_trap_beta0_K50_s8.npz
G_trap,0.3,hpsmg_plus,0,50,0.03824900,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,1,50,0.03027404,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,2,50,0.04742121,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,3,50,0.06626882,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,4,50,0.08495601,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,5,50,0.06339015,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,6,50,0.00412266,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,0.3,hpsmg_plus,7,50,0.03824900,results/cloudgpt/G_trap_beta0p3_K50_s8.npz
G_trap,1,hpsmg_plus,0,50,0.03824900,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,1,50,0.05170398,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,2,50,0.04742121,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,3,50,0.06626882,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,4,50,0.08495601,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,5,50,0.06339015,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,6,50,0.00412266,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,1,hpsmg_plus,7,50,0.03824900,results/cloudgpt/G_trap_beta1_K50_s8.npz
G_trap,3,hpsmg_plus,0,50,2.02867288,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,1,50,1.08034076,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,2,50,0.04742121,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,3,50,0.06626882,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,4,50,0.08495601,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,5,50,0.06339015,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,6,50,0.00549688,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,3,hpsmg_plus,7,50,2.02867288,results/cloudgpt/G_trap_beta3_K50_s8.npz
G_trap,10,hpsmg_plus,0,50,2.06901715,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,1,50,1.16484390,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,2,50,0.04742121,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,3,50,0.06626882,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,4,50,0.08495601,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,5,50,0.06339015,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,6,50,4.28220043,results/cloudgpt/G_trap_beta10_K50_s8.npz
G_trap,10,hpsmg_plus,7,50,2.06901715,results/cloudgpt/G_trap_beta10_K50_s8.npz
